,    Solvables       ,        Solution 1       ,        Solution 2       ,        Solution 3       ,        Solution 4       ,        Solution 5       ,        Solution 6       ,        Solution 7       ,        Solution 8       ,        Solution 9       ,        Solution 10       ,        Solution 11       
792,    3 5 9 13 ,  13+9+5-3 ,  (13-5)×9/3 ,  (13×9+3)/5 ,,,,,,,,
793,    3 5 10 10 ,  (10-10/5)×3 ,,,,,,,,,,
794,    3 5 10 11 ,  10×3+5-11 ,  (10-3)×5-11 ,,,,,,,,,
795,    3 5 10 12 ,  (10-5-3)×12 ,  12+10+5-3 ,,,,,,,,,
796,    3 5 10 13 ,  (5+3)×(13-10) ,  13×3-10-5 ,  (13+5-10)×3 ,,,,,,,,
797,    3 5 11 11 ,  11+11+5-3 ,,,,,,,,,,
798,    3 5 11 12 ,  (11-5)×12/3 ,,,,,,,,,,
799,    3 5 12 12 ,  12×5-12×3 ,  (12×5+12)/3 ,,,,,,,,,
800,    3 5 12 13 ,  (5×3-13)×12 ,  (13-3)×12/5 ,,,,,,,,,
801,    3 5 13 13 ,  13+13+3-5 ,,,,,,,,,,
802,    3 6 6 6 ,  (6-3)×6+6 ,  (6+6)×6/3 ,  (6-6/3)×6 ,  (6/6+3)×6 ,,,,,,,
803,    3 6 6 7 ,  7×6-6×3 ,  (7+3-6)×6 ,  (6/6+7)×3 ,,,,,,,,
804,    3 6 6 8 ,  8×3+6-6 ,  (8-3)×6-6 ,,,,,,,,,
805,    3 6 6 9 ,  9+6+6+3 ,  9×6/3+6 ,  6×6-9-3 ,  (9-6/6)×3 ,,,,,,,
806,    3 6 6 10 ,  (6-3)×10-6 ,,,,,,,,,,
807,    3 6 6 11 ,  (11×6+6)/3 ,,,,,,,,,,
808,    3 6 6 12 ,  6×3+12-6 ,  12×6/(6-3) ,  6×6/3+12 ,  12×3-6-6 ,  (6+6)×3-12 ,  (3-6/6)×12 ,  (12-6)×3+6 ,  (12/6+6)×3 ,,,
809,    3 6 6 13 ,  (13-6-3)×6 ,  (13×6-6)/3 ,,,,,,,,,
810,    3 6 7 7 ,  (7+7-6)×3 ,  (7/7+3)×6 ,,,,,,,,,
811,    3 6 7 8 ,  8+7+6+3 ,  (8+3-7)×6 ,  (7-6)×8×3 ,,,,,,,,
812,    3 6 7 9 ,  7×3+9-6 ,  (7-9/3)×6 ,  (9+6-7)×3 ,  (9-6)×7+3 ,,,,,,,
813,    3 6 7 10 ,  7×6/3+10 ,,,,,,,,,,
814,    3 6 7 12 ,  (6+3-7)×12 ,  (12-6)×(7-3) ,,,,,,,,,
815,    3 6 7 13 ,  6×3+13-7 ,  (13-7)×3+6 ,,,,,,,,,
816,    3 6 8 8 ,  8×6/3+8 ,  8×6-8×3 ,  (8/8+3)×6 ,,,,,,,,
817,    3 6 8 9 ,  9×8/(6-3) ,  (9+3-8)×6 ,  (9+3)×(8-6) ,  (6-9/3)×8 ,,,,,,,
818,    3 6 8 10 ,  (10+6-8)×3 ,,,,,,,,,,
819,    3 6 8 12 ,  (12-6-3)×8 ,  (8-12/3)×6 ,,,,,,,,,
820,    3 6 8 13 ,  13+8+6-3 ,,,,,,,,,,
821,    3 6 9 9 ,  9×3+6-9 ,  (9-6)×9-3 ,  (9/9+3)×6 ,,,,,,,,
822,    3 6 9 10 ,  (10+3-9)×6 ,  (9-3)×(10-6) ,  10×9/3-6 ,  9×6-10×3 ,  (6-10/3)×9 ,,,,,,
823,    3 6 9 11 ,  (6-3)×11-9 ,  (11-3)×(9-6) ,  (11+6-9)×3 ,  (11-6)×3+9 ,,,,,,,
824,    3 6 9 12 ,  12×6×3/9 ,  12+9+6-3 ,  (9+3)×12/6 ,  (9-3)×6-12 ,,,,,,,
825,    3 6 9 13 ,  6/3+13+9 ,  (13+3)×9/6 ,  13×3-9-6 ,,,,,,,,
826,    3 6 10 10 ,  (3-6/10)×10 ,  (10/10+3)×6 ,,,,,,,,,
827,    3 6 10 11 ,  11+10+6-3 ,  (11+3-10)×6 ,,,,,,,,,
828,    3 6 10 12 ,  6/3+12+10 ,  10×3+6-12 ,  10×6-12×3 ,  (10×6+12)/3 ,  (12+6-10)×3 ,  (10-6)×3+12 ,  (10-12/6)×3 ,,,,
829,    3 6 11 11 ,  6/3+11+11 ,  (11/11+3)×6 ,,,,,,,,,
830,    3 6 11 12 ,  (11-6-3)×12 ,  (12+3-11)×6 ,,,,,,,,,
831,    3 6 11 13 ,  (13+6-11)×3 ,,,,,,,,,,
832,    3 6 12 12 ,  (6-3)×12-12 ,  (12-6)×12/3 ,  (6-12/3)×12 ,  (12/12+3)×6 ,,,,,,,
833,    3 6 12 13 ,  (13+3-12)×6 ,,,,,,,,,,
834,    3 6 13 13 ,  13+13-6/3 ,  (13/13+3)×6 ,,,,,,,,,
835,    3 7 7 7 ,  7+7+7+3 ,  (7/7+7)×3 ,,,,,,,,,
836,    3 7 7 8 ,  8×3+7-7 ,,,,,,,,,,
837,    3 7 7 9 ,  (9-7/7)×3 ,,,,,,,,,,
838,    3 7 7 10 ,  7×3+10-7 ,  (10-7)×7+3 ,,,,,,,,,
839,    3 7 7 12 ,  (3-7/7)×12 ,,,,,,,,,,
840,    3 7 7 13 ,  13+7+7-3 ,  (13-7)×(7-3) ,,,,,,,,,
841,    3 7 8 8 ,  (7-3)×8-8 ,  (8-7)×8×3 ,  (8/8+7)×3 ,,,,,,,,
842,    3 7 8 9 ,  (9+7-8)×3 ,,,,,,,,,,
843,    3 7 8 11 ,  7×3+11-8 ,  (8-3)×7-11 ,  (11-8)×7+3 ,,,,,,,,
844,    3 7 8 12 ,  (7+3-8)×12 ,  12+8+7-3 ,  12×8/(7-3) ,  (7-12/3)×8 ,,,,,,,
845,    3 7 8 13 ,  (13-7-3)×8 ,  13×3-8-7 ,,,,,,,,,
846,    3 7 9 9 ,  (9+3)×(9-7) ,  (9×7+9)/3 ,  (9/9+7)×3 ,,,,,,,,
847,    3 7 9 10 ,  9×3+7-10 ,  (10+7-9)×3 ,  (10-7)×9-3 ,,,,,,,,
848,    3 7 9 11 ,  11+9+7-3 ,  (9-3)×(11-7) ,,,,,,,,,
849,    3 7 9 12 ,  7×3+12-9 ,  (7-3)×9-12 ,  (12-7)×3+9 ,  (12-9)×7+3 ,,,,,,,
850,    3 7 9 13 ,  9×7-13×3 ,  (7-13/3)×9 ,,,,,,,,,
851,    3 7 10 10 ,  10+10+7-3 ,  (10/10+7)×3 ,,,,,,,,,
852,    3 7 10 11 ,  (11-3)×(10-7) ,  (11+7-10)×3 ,,,,,,,,,
853,    3 7 10 13 ,  7×3+13-10 ,  10×3+7-13 ,  (13-10)×7+3 ,,,,,,,,
854,    3 7 11 11 ,  (11/11+7)×3 ,,,,,,,,,,
855,    3 7 11 12 ,  (11+3)×12/7 ,  (12+7-11)×3 ,  (11-7)×3+12 ,,,,,,,,
856,    3 7 12 12 ,  (12-7-3)×12 ,  (12×7-12)/3 ,  (12/12+7)×3 ,,,,,,,,
857,    3 7 12 13 ,  (13-7)×12/3 ,  12/3+13+7 ,  (13+7-12)×3 ,,,,,,,,
858,    3 7 13 13 ,  (13/13+7)×3 ,,,,,,,,,,
859,    3 8 8 8 ,  8×3+8-8 ,  (8×8+8)/3 ,,,,,,,,,
860,    3 8 8 9 ,  (9-8)×8×3 ,  (9-8/8)×3 ,,,,,,,,,
861,    3 8 8 10 ,  (10×8-8)/3 ,,,,,,,,,,
862,    3 8 8 11 ,  11+8+8-3 ,,,,,,,,,,
863,    3 8 8 12 ,  12×8/3-8 ,  (3-8/8)×12 ,,,,,,,,,
864,    3 8 9 9 ,  8×3+9-9 ,,,,,,,,,,
865,    3 8 9 10 ,  (10-9)×8×3 ,  10+9+8-3 ,  (9+3)×(10-8) ,,,,,,,,
866,    3 8 9 11 ,  9×3+8-11 ,  (11-8)×9-3 ,,,,,,,,,
867,    3 8 9 12 ,  (8+3-9)×12 ,  (9-3)×(12-8) ,,,,,,,,,
868,    3 8 9 13 ,  9/3+13+8 ,  (13-8)×3+9 ,,,,,,,,,
869,    3 8 10 10 ,  8×3+10-10 ,,,,,,,,,,
870,    3 8 10 11 ,  (11-10)×8×3 ,,,,,,,,,,
871,    3 8 10 12 ,  12×10/(8-3) ,,,,,,,,,,
872,    3 8 11 11 ,  8×3+11-11 ,  (11-3)×(11-8) ,,,,,,,,,
873,    3 8 11 12 ,  (12-11)×8×3 ,,,,,,,,,,
874,    3 8 12 12 ,  8×3+12-12 ,  12/3+12+8 ,  (12-8)×3+12 ,,,,,,,,
875,    3 8 12 13 ,  (13-8-3)×12 ,  (13-12)×8×3 ,  (13+3)×12/8 ,,,,,,,,
876,    3 8 13 13 ,  8×3+13-13 ,,,,,,,,,,
877,    3 9 9 9 ,  9+9+9-3 ,  (9×9-9)/3 ,  (9-9/9)×3 ,,,,,,,,
878,    3 9 9 10 ,  (9+9-10)×3 ,,,,,,,,,,
879,    3 9 9 11 ,  (9+3)×(11-9) ,  11×9/3-9 ,,,,,,,,,
880,    3 9 9 12 ,  9×3+9-12 ,  9/3+12+9 ,  (3-9/9)×12 ,  (12-9)×9-3 ,,,,,,,
881,    3 9 9 13 ,  (9-3)×(13-9) ,,,,,,,,,,
882,    3 9 10 10 ,  (9-10/10)×3 ,,,,,,,,,,
883,    3 9 10 11 ,  9/3+11+10 ,  (10+9-11)×3 ,,,,,,,,,
884,    3 9 10 12 ,  (9+3)×(12-10) ,  (9+3-10)×12 ,,,,,,,,,
885,    3 9 10 13 ,  9×3+10-13 ,  (13-10)×9-3 ,,,,,,,,,
886,    3 9 11 11 ,  (3-9/11)×11 ,  (9-11/11)×3 ,,,,,,,,,
887,    3 9 11 12 ,  (11-3)×(12-9) ,  12/3+11+9 ,  (11+9-12)×3 ,,,,,,,,
888,    3 9 11 13 ,  (9+3)×(13-11) ,,,,,,,,,,
889,    3 9 12 12 ,  12×12/(9-3) ,  12×9/3-12 ,  (9-12/12)×3 ,,,,,,,,
890,    3 9 12 13 ,  (12+9-13)×3 ,  (13-9)×3+12 ,,,,,,,,,
891,    3 9 13 13 ,  (9-13/13)×3 ,,,,,,,,,,
892,    3 10 10 12 ,  12/3+10+10 ,  (10+10-12)×3 ,  (3-10/10)×12 ,,,,,,,,
893,    3 10 11 12 ,  (10+3-11)×12 ,,,,,,,,,,
894,    3 10 11 13 ,  (11-3)×(13-10) ,  (11+10-13)×3 ,,,,,,,,,
895,    3 11 11 12 ,  (3-11/11)×12 ,,,,,,,,,,
896,    3 11 12 12 ,  (11+3-12)×12 ,,,,,,,,,,
897,    3 12 12 12 ,  (3-12/12)×12 ,,,,,,,,,,
898,    3 12 12 13 ,  (12+3-13)×12 ,,,,,,,,,,
899,    3 12 13 13 ,  (3-13/13)×12 ,,,,,,,,,,
900,    4 4 4 4 ,  4×4+4+4 ,,,,,,,,,,
901,    4 4 4 5 ,  (4/4+5)×4 ,,,,,,,,,,
902,    4 4 4 6 ,  6×4+4-4 ,,,,,,,,,,
903,    4 4 4 7 ,  (4+4)×(7-4) ,  (7-4/4)×4 ,,,,,,,,,
904,    4 4 4 8 ,  8×4-4-4 ,  (4+4)×4-8 ,  (4-4/4)×8 ,  (8/4+4)×4 ,,,,,,,
905,    4 4 4 9 ,  (9-4)×4+4 ,,,,,,,,,,
906,    4 4 4 10 ,  10×4-4×4 ,  (4×4-10)×4 ,,,,,,,,,
907,    4 4 4 11 ,  (11-4)×4-4 ,,,,,,,,,,
908,    4 4 4 12 ,  12+4+4+4 ,  (4+4)×12/4 ,  4×4+12-4 ,,,,,,,,
909,    4 4 5 5 ,  5×5-4/4 ,  (5+5-4)×4 ,  (4/5+4)×5 ,,,,,,,,
910,    4 4 5 6 ,  (5-4/4)×6 ,  (5-4)×6×4 ,,,,,,,,,
911,    4 4 5 7 ,  (7+4-5)×4 ,,,,,,,,,,
912,    4 4 5 8 ,  (4+4)×(8-5) ,  (4+4-5)×8 ,  8×5-4×4 ,  5×4+8-4 ,  (8-4)×5+4 ,,,,,,
913,    4 4 5 10 ,  (10-5)×4+4 ,  (10/5+4)×4 ,,,,,,,,,
914,    4 4 5 11 ,  11+5+4+4 ,  11×4-5×4 ,,,,,,,,,
915,    4 4 5 12 ,  (5+4)×4-12 ,  (12-5)×4-4 ,,,,,,,,,
916,    4 4 5 13 ,  4×4+13-5 ,,,,,,,,,,
917,    4 4 6 8 ,  (8+4-6)×4 ,  (8+4)×(6-4) ,,,,,,,,,
918,    4 4 6 9 ,  (4+4)×(9-6) ,  9×4×4/6 ,,,,,,,,,
919,    4 4 6 10 ,  10+6+4+4 ,  (6-4)×10+4 ,,,,,,,,,
920,    4 4 6 11 ,  (11-6)×4+4 ,,,,,,,,,,
921,    4 4 6 12 ,  (4+4-6)×12 ,  (12-4-4)×6 ,  (4×4-12)×6 ,  12×4-6×4 ,  12×4/(6-4) ,  (12+4)×6/4 ,  (12/6+4)×4 ,,,,
922,    4 4 6 13 ,  (13-6)×4-4 ,,,,,,,,,,
923,    4 4 7 7 ,  (4-4/7)×7 ,,,,,,,,,,
924,    4 4 7 8 ,  7×4+4-8 ,  (8-4)×7-4 ,,,,,,,,,
925,    4 4 7 9 ,  9+7+4+4 ,  (9+4-7)×4 ,,,,,,,,,
926,    4 4 7 10 ,  (4+4)×(10-7) ,,,,,,,,,,
927,    4 4 7 12 ,  (12-4)×(7-4) ,  (7-4)×4+12 ,  (12-7)×4+4 ,,,,,,,,
928,    4 4 7 13 ,  13×4-7×4 ,,,,,,,,,,
929,    4 4 8 8 ,  8+8+4+4 ,  (8+4)×8/4 ,  (8-4)×4+8 ,  (8-8/4)×4 ,,,,,,,
930,    4 4 8 9 ,  9×4-8-4 ,,,,,,,,,,
931,    4 4 8 10 ,  (10+4-8)×4 ,  (10-4)×(8-4) ,  10×8/4+4 ,,,,,,,,
932,    4 4 8 11 ,  (4+4)×(11-8) ,  (11-4-4)×8 ,,,,,,,,,
933,    4 4 8 12 ,  12×4×4/8 ,  8×4+4-12 ,  (4-8/4)×12 ,  (12-4)×4-8 ,,,,,,,
934,    4 4 8 13 ,  (4×4-13)×8 ,  (13-8)×4+4 ,,,,,,,,,
935,    4 4 9 11 ,  (11+4-9)×4 ,,,,,,,,,,
936,    4 4 9 12 ,  (4+4)×(12-9) ,  (9-12/4)×4 ,,,,,,,,,
937,    4 4 10 10 ,  (10×10-4)/4 ,,,,,,,,,,
938,    4 4 10 12 ,  (10-4-4)×12 ,  10×4-12-4 ,  (12+4-10)×4 ,,,,,,,,
939,    4 4 10 13 ,  (4+4)×(13-10) ,  4/4+13+10 ,,,,,,,,,
940,    4 4 11 12 ,  4/4+12+11 ,,,,,,,,,,
941,    4 4 11 13 ,  13+11+4-4 ,  (13+4-11)×4 ,,,,,,,,,
942,    4 4 12 12 ,  12+12+4-4 ,  (12-4)×12/4 ,,,,,,,,,
943,    4 4 12 13 ,  13+12-4/4 ,  (13-4)×4-12 ,,,,,,,,,
944,    4 5 5 5 ,  5×5+4-5 ,  (5/5+5)×4 ,,,,,,,,,
945,    4 5 5 6 ,  6×4+5-5 ,,,,,,,,,,
946,    4 5 5 7 ,  (7-5/5)×4 ,,,,,,,,,,
947,    4 5 5 8 ,  (4-5/5)×8 ,,,,,,,,,,
948,    4 5 5 9 ,  5×4+9-5 ,  (9-5)×5+4 ,,,,,,,,,
949,    4 5 5 10 ,  10+5+5+4 ,,,,,,,,,,
950,    4 5 6 6 ,  (6-5)×6×4 ,  (6/6+5)×4 ,,,,,,,,,
951,    4 5 6 7 ,  (7+5)×(6-4) ,  (7+5-6)×4 ,,,,,,,,,
952,    4 5 6 8 ,  (5+4-6)×8 ,,,,,,,,,,
953,    4 5 6 9 ,  9+6+5+4 ,,,,,,,,,,
954,    4 5 6 10 ,  5×4+10-6 ,  6×5+4-10 ,  (10-4)×5-6 ,  (10-6)×5+4 ,,,,,,,
955,    4 5 6 11 ,  (11+5)×6/4 ,,,,,,,,,,
956,    4 5 6 12 ,  (6+4)×12/5 ,,,,,,,,,,
957,    4 5 6 13 ,  (13-5-4)×6 ,,,,,,,,,,
958,    4 5 7 7 ,  7×5-7-4 ,  (7/7+5)×4 ,,,,,,,,,
959,    4 5 7 8 ,  8+7+5+4 ,  (8+4)×(7-5) ,  (7+5)×8/4 ,  (8+5-7)×4 ,,,,,,,
960,    4 5 7 9 ,  7×4+5-9 ,  (7-4)×5+9 ,  9×4-7-5 ,  (9-5)×7-4 ,,,,,,,
961,    4 5 7 10 ,  (7-5)×10+4 ,,,,,,,,,,
962,    4 5 7 11 ,  5×4+11-7 ,  (11-7)×5+4 ,,,,,,,,,
963,    4 5 7 12 ,  (5+4-7)×12 ,  12×4/(7-5) ,,,,,,,,,
964,    4 5 7 13 ,  (13-5)×(7-4) ,  (13×7+5)/4 ,,,,,,,,,
965,    4 5 8 8 ,  (5-8/4)×8 ,  (8/8+5)×4 ,,,,,,,,,
966,    4 5 8 9 ,  (9+5-8)×4 ,  (9-5)×4+8 ,,,,,,,,,
967,    4 5 8 10 ,  (8+4)×10/5 ,  (4-8/5)×10 ,  (8-10/5)×4 ,  (8/10+4)×5 ,,,,,,,
968,    4 5 8 11 ,  (11-5)×(8-4) ,  (11+4)×8/5 ,,,,,,,,,
969,    4 5 8 12 ,  (12-5-4)×8 ,  5×4+12-8 ,  8×5-12-4 ,  (12-4)×(8-5) ,  (8-5)×4+12 ,  (12-8)×5+4 ,,,,,
970,    4 5 8 13 ,  8×4+5-13 ,  (13-5)×4-8 ,,,,,,,,,
971,    4 5 9 9 ,  (9/9+5)×4 ,,,,,,,,,,
972,    4 5 9 10 ,  (10-4)×(9-5) ,  (10+5-9)×4 ,,,,,,,,,
973,    4 5 9 12 ,  12×5/4+9 ,  12×5-9×4 ,,,,,,,,,
974,    4 5 9 13 ,  5×4+13-9 ,  (13-9)×5+4 ,,,,,,,,,
975,    4 5 10 10 ,  10×10/5+4 ,  (10/10+5)×4 ,,,,,,,,,
976,    4 5 10 11 ,  10×4-11-5 ,  (11+5-10)×4 ,,,,,,,,,
977,    4 5 10 12 ,  12×5×4/10 ,  (4-10/5)×12 ,,,,,,,,,
978,    4 5 10 13 ,  13+10+5-4 ,,,,,,,,,,
979,    4 5 11 11 ,  (11-4)×5-11 ,  (11/11+5)×4 ,,,,,,,,,
980,    4 5 11 12 ,  (11-5-4)×12 ,  12+11+5-4 ,  (12+5-11)×4 ,,,,,,,,
981,    4 5 11 13 ,  (13+11)×(5-4) ,,,,,,,,,,
982,    4 5 12 12 ,  (12+12)×(5-4) ,  (5-12/4)×12 ,  (12/12+5)×4 ,,,,,,,,
983,    4 5 12 13 ,  13+12+4-5 ,  (13-5)×12/4 ,  (13+5-12)×4 ,,,,,,,,
984,    4 5 13 13 ,  (13/13+5)×4 ,,,,,,,,,,
985,    4 6 6 6 ,  6×4+6-6 ,  (6+6)×(6-4) ,,,,,,,,,
986,    4 6 6 7 ,  (7-6)×6×4 ,  (7-4)×6+6 ,  (7-6/6)×4 ,,,,,,,,
987,    4 6 6 8 ,  8+6+6+4 ,  8×6-6×4 ,  8×6/(6-4) ,  6×6-8-4 ,  (6+6)×8/4 ,  (6-8/4)×6 ,  (4-6/6)×8 ,,,,
988,    4 6 6 9 ,  (6-4)×9+6 ,  9×4-6-6 ,  (9-4)×6-6 ,,,,,,,,
989,    4 6 6 10 ,  (10+6)×6/4 ,,,,,,,,,,
990,    4 6 6 12 ,  (6-4)×6+12 ,  12×6/4+6 ,,,,,,,,,
991,    4 6 7 7 ,  7+7+6+4 ,  6×4+7-7 ,,,,,,,,,
992,    4 6 7 8 ,  (6+4-7)×8 ,  (8-7)×6×4 ,,,,,,,,,
993,    4 6 7 9 ,  (9+7)×6/4 ,,,,,,,,,,
994,    4 6 7 10 ,  (6-4)×7+10 ,  7×4+6-10 ,  (7-4)×10-6 ,  (10-6)×7-4 ,,,,,,,
995,    4 6 7 12 ,  12×6/(7-4) ,  (7-12/4)×6 ,,,,,,,,,
996,    4 6 8 8 ,  6×4+8-8 ,  (6-4)×8+8 ,  (8+8)×6/4 ,  (8+4)×(8-6) ,,,,,,,
997,    4 6 8 9 ,  (9-8)×6×4 ,  9×8/4+6 ,  (4-8/6)×9 ,,,,,,,,
998,    4 6 8 10 ,  (8-6)×10+4 ,  (10-6)×4+8 ,,,,,,,,,
999,    4 6 8 12 ,  (6+4-8)×12 ,  8×6/4+12 ,  (8+4)×12/6 ,  (12-6)×(8-4) ,  12×4/(8-6) ,  (6-12/4)×8 ,  (8-12/6)×4 ,,,,
1000,    4 6 8 13 ,  (13-6-4)×8 ,,,,,,,,,,
1001,    4 6 9 9 ,  6×4+9-9 ,,,,,,,,,,
1002,    4 6 9 10 ,  (10-9)×6×4 ,  10×6/4+9 ,  10×6-9×4 ,  (10×9+6)/4 ,,,,,,,
1003,    4 6 9 12 ,  (12+4)×9/6 ,  (12-4)×(9-6) ,  (9-6)×4+12 ,,,,,,,,
1004,    4 6 9 13 ,  13+9+6-4 ,,,,,,,,,,
1005,    4 6 10 10 ,  6×4+10-10 ,  10×4-10-6 ,  (10-4)×(10-6) ,,,,,,,,
1006,    4 6 10 11 ,  (11-10)×6×4 ,,,,,,,,,,
1007,    4 6 10 12 ,  12+10+6-4 ,  (10-4)×6-12 ,  12×10/4-6 ,  12×10/6+4 ,,,,,,,
1008,    4 6 11 11 ,  6×4+11-11 ,  11+11+6-4 ,,,,,,,,,
1009,    4 6 11 12 ,  (12-11)×6×4 ,,,,,,,,,,
1010,    4 6 12 12 ,  (12-6-4)×12 ,  6×4+12-12 ,  12×6-12×4 ,  (4-12/6)×12 ,,,,,,,
1011,    4 6 12 13 ,  (13-12)×6×4 ,,,,,,,,,,
1012,    4 6 13 13 ,  6×4+13-13 ,  13+13+4-6 ,,,,,,,,,
1013,    4 7 7 7 ,  (7-7/7)×4 ,,,,,,,,,,
1014,    4 7 7 8 ,  (7+7-8)×4 ,  (4-7/7)×8 ,,,,,,,,,
1015,    4 7 7 11 ,  7×4+7-11 ,  (11-7)×7-4 ,,,,,,,,,
1016,    4 7 8 8 ,  (7+4-8)×8 ,  8×7-8×4 ,  (7-8/8)×4 ,,,,,,,,
1017,    4 7 8 9 ,  9×8/(7-4) ,  (8+4)×(9-7) ,  (8+7-9)×4 ,,,,,,,,
1018,    4 7 8 10 ,  8×7/4+10 ,,,,,,,,,,
1019,    4 7 8 11 ,  (11-7)×4+8 ,,,,,,,,,,
1020,    4 7 8 12 ,  7×4+8-12 ,  (12-8)×7-4 ,,,,,,,,,
1021,    4 7 8 13 ,  13+8+7-4 ,  (13-7)×(8-4) ,,,,,,,,,
1022,    4 7 9 9 ,  (7-9/9)×4 ,,,,,,,,,,
1023,    4 7 9 10 ,  10×4-9-7 ,  (9+7-10)×4 ,  (9-7)×10+4 ,,,,,,,,
1024,    4 7 9 11 ,  (7-4)×11-9 ,  (9-4)×7-11 ,,,,,,,,,
1025,    4 7 9 12 ,  (7+4-9)×12 ,  12+9+7-4 ,  12×4/(9-7) ,,,,,,,,
1026,    4 7 9 13 ,  7×4+9-13 ,  (13-9)×7-4 ,,,,,,,,,
1027,    4 7 10 10 ,  (7-10/10)×4 ,,,,,,,,,,
1028,    4 7 10 11 ,  11+10+7-4 ,  (10-4)×(11-7) ,  (10+7-11)×4 ,,,,,,,,
1029,    4 7 10 12 ,  (10+4)×12/7 ,  (12-4)×(10-7) ,  (10-7)×4+12 ,,,,,,,,
1030,    4 7 11 11 ,  (7-11/11)×4 ,,,,,,,,,,
1031,    4 7 11 12 ,  (11+7-12)×4 ,,,,,,,,,,
1032,    4 7 11 13 ,  11×4-13-7 ,,,,,,,,,,
1033,    4 7 12 12 ,  (7-4)×12-12 ,  (12×7+12)/4 ,  (7-12/12)×4 ,,,,,,,,
1034,    4 7 12 13 ,  (13-7-4)×12 ,  (12+7-13)×4 ,,,,,,,,,
1035,    4 7 13 13 ,  (7-13/13)×4 ,,,,,,,,,,
1036,    4 8 8 8 ,  (8-4)×8-8 ,  8×8/4+8 ,  (4-8/8)×8 ,,,,,,,,
1037,    4 8 8 9 ,  (8+4-9)×8 ,,,,,,,,,,
1038,    4 8 8 10 ,  (8+4)×(10-8) ,  10×4-8-8 ,  8×8-10×4 ,  (8+8-10)×4 ,,,,,,,
1039,    4 8 8 11 ,  (11×8+8)/4 ,,,,,,,,,,
1040,    4 8 8 12 ,  12+8+8-4 ,  12×8/(8-4) ,  (12-8)×4+8 ,,,,,,,,
1041,    4 8 8 13 ,  (13×8-8)/4 ,,,,,,,,,,
1042,    4 8 9 9 ,  (4-9/9)×8 ,,,,,,,,,,
1043,    4 8 9 10 ,  (9+4-10)×8 ,,,,,,,,,,
1044,    4 8 9 11 ,  (8+4)×(11-9) ,  11+9+8-4 ,  (9+8-11)×4 ,,,,,,,,
1045,    4 8 9 12 ,  9×8×4/12 ,  (8-4)×9-12 ,  9×8-12×4 ,,,,,,,,
1046,    4 8 9 13 ,  8/4+13+9 ,  (13-9)×4+8 ,,,,,,,,,
1047,    4 8 10 10 ,  10+10+8-4 ,  (10-8)×10+4 ,  (4-10/10)×8 ,,,,,,,,
1048,    4 8 10 11 ,  (10+4-11)×8 ,,,,,,,,,,
1049,    4 8 10 12 ,  (8+4)×(12-10) ,  (8+4-10)×12 ,  8/4+12+10 ,  (10-4)×(12-8) ,  12×4/(10-8) ,  (10+8-12)×4 ,,,,,
1050,    4 8 11 11 ,  8/4+11+11 ,  (4-11/11)×8 ,,,,,,,,,
1051,    4 8 11 12 ,  (11+4-12)×8 ,  11×4-12-8 ,  (12-4)×(11-8) ,  (11-8)×4+12 ,,,,,,,
1052,    4 8 11 13 ,  (8+4)×(13-11) ,  (11+8-13)×4 ,,,,,,,,,
1053,    4 8 12 12 ,  (12+4)×12/8 ,  (4-12/12)×8 ,,,,,,,,,
1054,    4 8 12 13 ,  (12+4-13)×8 ,  12/4+13+8 ,,,,,,,,,
1055,    4 8 13 13 ,  13+13-8/4 ,  (4-13/13)×8 ,,,,,,,,,
1056,    4 9 9 10 ,  10+9+9-4 ,,,,,,,,,,
1057,    4 9 9 12 ,  (9+9-12)×4 ,  (4-12/9)×9 ,,,,,,,,,
1058,    4 9 10 11 ,  (11-9)×10+4 ,,,,,,,,,,
1059,    4 9 10 12 ,  12×10/(9-4) ,,,,,,,,,,
1060,    4 9 10 13 ,  (10-4)×(13-9) ,  (10+9-13)×4 ,,,,,,,,,
1061,    4 9 11 11 ,  11×4-11-9 ,,,,,,,,,,
1062,    4 9 11 12 ,  (9+4-11)×12 ,  12×11/4-9 ,  12×4/(11-9) ,,,,,,,,
1063,    4 9 12 12 ,  (12-4)×(12-9) ,  12/4+12+9 ,  (12×9-12)/4 ,  (12-9)×4+12 ,,,,,,,
1064,    4 10 10 11 ,  11×4-10-10 ,,,,,,,,,,
1065,    4 10 10 12 ,  (12-10)×10+4 ,,,,,,,,,,
1066,    4 10 11 12 ,  12/4+11+10 ,,,,,,,,,,
1067,    4 10 11 13 ,  (13-11)×10+4 ,,,,,,,,,,
1068,    4 10 12 12 ,  (10+4-12)×12 ,  12×12/(10-4) ,  12×4/(12-10) ,,,,,,,,
1069,    4 10 12 13 ,  (12-4)×(13-10) ,  (13-10)×4+12 ,,,,,,,,,
1070,    4 11 12 13 ,  (11+4-13)×12 ,  12×4-13-11 ,  12×4/(13-11) ,,,,,,,,
1071,    4 12 12 12 ,  12×4-12-12 ,  12×12/4-12 ,,,,,,,,,
1072,    5 5 5 5 ,  5×5-5/5 ,,,,,,,,,,
1073,    5 5 5 6 ,  5×5+5-6 ,  (5-5/5)×6 ,,,,,,,,,
1074,    5 5 5 9 ,  9+5+5+5 ,,,,,,,,,,
1075,    5 5 5 12 ,  (5+5)×12/5 ,,,,,,,,,,
